wordpress	latest	sha256:8801a1239d7ba9fb340a5fc5ba0bf7f8d3652adbd64893e3fba7992ba618108e
mariadb	11	sha256:2439dcd7d14010ecd1ff7a4e1c5abe8e208c34fe35290744deeeaac3569043c3
bkimminich/juice-shop	latest	sha256:73c53fbf442e8337b3ea3d98c7e8550308854701ebdfce4cc39768f36b75430e
jaegertracing/all-in-one	latest	sha256:e493bff54e457ba5827f82418d744a322165cd5d46146607fb76489bfb2a8885
postgres	16	sha256:cf2a05fe40887b721e4b3dbac8fd32673c08292dcc8ba6b62b52b7f640433bd0
postgres	latest	sha256:5ec39c188013123927f30a006987c6b0e20f3ef2b54b140dfa96dac6844d883f
rabbitmq	4.2	sha256:23abfd791c05664073bcdeac6a5926ff57294a350dfcccfc7b9fc30327144353
serieslab-api	latest	sha256:7be901a64554b9ad61c1516eb2ff82d049933af9e24b2b78ebc5bbd821e19afb
clienteapi-api	latest	sha256:9a21804932c59b2432df29a20cc25fea2af617574fca0d6c09e1b0de455a2b19
clienteapi	latest	sha256:ca4526a905c049cd46fe206499b6e601583afead509e26877dc2cc69df8e6531
prom/prometheus	latest	sha256:78ed1f9050eb9eaf766af6e580230b1c4965728650e332cd1ee918c0c4699775
booksapi-api	latest	sha256:dad328a7aad474c7d3a4d951f5164737a97c3a39c309bc173d8fd34ee587c163
grafana/grafana	latest	sha256:263cbefd5d9b179893c47c415daab4da5c1f3d6770154741eca4f45c81119884
mongo	latest	sha256:2e018e386e891d2e4239aca6035fb7701dac51b72891247ecd2f95ff8a167859
mcr.microsoft.com/mssql/server	latest	sha256:147ee765ff1db3b86ce6ec05908e51fd0dab2feda5dd85b2721f28c77ca305eb
mcr.microsoft.com/mssql/server	2019-latest	sha256:7a879e9af3557e81a3b3ad14acd071e3638788387f394d27a9d3404b28e954ce
vulnerables/web-dvwa	latest	sha256:dae203fe11646a86937bf04db0079adef295f426da68a92b40e3b181f337daa7
mcr.microsoft.com/mssql-tools	latest	sha256:62556500522072535cb3df2bb5965333dded9be47000473e9e0f84118e248642
